ngram,High,Low,Medium,None
가*/JKS,0,0,1,0
가*/VV,0,1,2,0
가/JKC,3,4,10,0
가/JKS,18,12,78,4
가/VV,1,2,7,1
가/VX,1,1,6,1
가격/NNG,0,0,3,0
가까이/MAG,0,1,1,0
가깝/VA,0,1,1,0
가꾸/VV,0,0,1,0
가늠/NNG,0,0,1,0
가능*/NNG,0,0,1,0
가능/NNG,1,1,6,0
가능/XR,1,0,4,0
가도/NNG,0,0,1,0
가득/MAG,2,0,0,0
가로막히/VV,0,0,1,0
가르치/VV,0,1,3,0
가리/VV,1,0,0,0
가사/NNG,0,0,1,0
가스/NNG,0,0,1,0
가슴/NNG,1,0,4,0
가을/NNG,0,0,1,0
가장/MAG,14,1,15,1
가족/NNG,1,0,4,0
가증/XR,0,0,1,0
가지/NNB,1,1,1,0
가지/VV,1,2,5,1
가책/NNG,0,0,1,0
가출/NNG,1,0,1,0
가치/NNG,0,1,4,0
가타부타/NNG,0,1,0,0
가파르/VA,0,0,1,0
가하/VV,0,0,1,0
각광/NNG,0,0,1,0
각국/NNG,0,1,0,0
각별/XR,1,0,1,0
각별히/MAG,0,0,1,0
각성/NNG,0,0,1,0
각양각색/NNG,0,0,2,0
각종/NNG,1,0,0,0
간/NNB,0,0,1,0
간곡/XR,0,0,1,0
간단히/MAG,0,0,1,0
간밤/NNG,0,0,1,0
간신히/MAG,0,0,1,1
간주/NNG,0,1,0,0
간첩/NNG,0,0,1,0
간편/XR,0,0,3,0
간호/NNG,0,0,1,0
갇히/VV,0,0,2,0
갈구/NNG,0,0,1,0
갈등/NNG,0,0,2,0
갈수록/MAG,0,0,1,0
갈피/NNG,0,0,2,0
감/NNG,0,0,2,0
감각/NNG,0,1,0,0
감내/NNG,1,0,0,0
감독/NNG,0,4,2,0
감동/NNG,0,0,2,0
감사/NNG,1,0,0,0
감칠맛/NNG,0,0,1,0
감탄사/NNG,0,0,1,0
갑자기/MAG,0,2,1,1
갑작스레/MAG,0,0,1,0
값/NNG,0,1,4,0
값싸/VA,0,0,1,0
강군/NNG,0,0,1,0
강단/NNG,0,1,0,0
